date,publication,business_name,category,website,instagram_url,owner_first_name,greeting,final_dm
2026-09-21,Athens Scoop,The Van Dora Law Firm,personal injury law,https://www.vandoralawfirm.com/,https://www.instagram.com/vandoralawfirm/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 personal injury law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Gerber & Elkins Workers' Compensation Attorneys,workers compensation law,https://www.gerberelkinslaw.com/,https://www.instagram.com/gerberelkins/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 workers compensation law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Morang Family Dental,general dentistry,https://www.morangdental.com/,https://www.instagram.com/williammorangdmd/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 dental practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Hawthorne Animal Hospital,vets,https://www.hawthornepet.com/,https://www.instagram.com/hawthorneanimalhospital/,Beth,Beth,"Beth, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 veterinary practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Detail Dawgs,auto detailing,https://detaildawgs.com/,https://www.instagram.com/detaildawgsathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 auto detailing shop partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Jared Hood,auto detailing,https://www.newimagedetailingllc.com/,https://www.instagram.com/new.image.detailing/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 auto detailing shop partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The Athens Clinic,mental health practice,https://theathensclinic.com/,https://www.instagram.com/theathensclinic/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 mental health practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,City Garden Company,landscaping,https://citygardenco.com/,https://www.instagram.com/citygardencompany/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The Banyan Tree,mental health practice,https://athenscounseling.com/,https://www.instagram.com/banyantreecenter/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 mental health practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Meredith Lachin,interior design,https://classiccitystaginganddesign.com/,https://www.instagram.com/classiccitystaginganddesign/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Winterville Dental,general dentistry,https://www.wintervilledental.com/,https://www.instagram.com/wintervilledental/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 dental practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Wiltshire Defense,criminal defense law,https://www.wiltshiredefense.com/,https://www.instagram.com/wiltshiredefense/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 criminal defense law firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Nextgen Electric,electrical services,https://nextgenelectricco.com/,https://www.instagram.com/nextgenelectric/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 electrical company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Chateau Pools,pool services,https://chateaupools.com/,https://www.instagram.com/chateaupoolsllc/,Benny,Benny,"Benny, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pool service company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,THE Clean Crew,home cleaning,https://www.cleancrewathens.com/our-mission/,https://www.instagram.com/thecleancrewathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 home cleaning company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Greenworks Ecoscape,landscaping,https://greenworksecoscape.com/,https://www.instagram.com/greenworksecoscape/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,University Tire,tire services,https://www.university-tire.com/,https://www.instagram.com/university_tire/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 tire shop partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,DCMO Floors,flooring,https://www.dcmofloors.com/,https://www.instagram.com/dcmofloors1/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 flooring company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,ProShield Roofing,roofing,https://proshieldroofing.net/service-area/clarke-county/,https://www.instagram.com/proshieldroofing/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Amy Liven Design,interior design,https://livendesignco.com/,https://www.instagram.com/livendesignco/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,JOMA Construction,remodeling,https://www.jomaconstruction.com/,https://www.instagram.com/jomaconstruction/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 remodeling company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
