date,publication,business_name,category,website,instagram_url,owner_first_name,greeting,final_dm
2026-09-21,Athens Scoop,Athens Photo Booths,event photography,https://athensphotobooths.com/,https://www.instagram.com/athensphotobooths/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 event photography business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,New Urban Forestry,landscaping,https://www.newurbanforestry.com/,https://www.instagram.com/newurbanforestry/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Dog Day Camp & Boarding Oconee County GA,pet care,https://www.campwagalongga.com/,https://www.instagram.com/campwagalong/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pet care business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Artisan Roofing & Construction,roofing,https://artisanroofingconstruction.com/areas-we-serve/roofing-services-in-athens-ga/,https://www.instagram.com/artisanroofingconstruction/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The Expat,restaurants,https://www.theexpatathens.com/,https://www.instagram.com/theexpatathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Dovetail Market,restaurants,https://www.dovetailathens.com/,https://www.instagram.com/dovetailathens/,Fritz,Fritz,"Fritz, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,South Kitchen Bar,restaurants,https://www.southkitchenbar.com/private-events/,https://www.instagram.com/southkitchenbar/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Trappeze Pub,restaurants,https://www.trappezepub.com/private-events/,https://www.instagram.com/trappezepub/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The National,restaurants,https://www.thenationalrestaurant.com/faq/,https://www.instagram.com/nationalathens/,Erin,Erin,"Erin, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Phantom Eye Design,web design,https://www.phantomeyedesign.com/,https://www.instagram.com/phantomeyedesign/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 web design agency partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Pure Sweep Cleaners,home cleaning,https://www.puresweepcleaners.com/,https://www.instagram.com/puresweepcleaners/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 home cleaning company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Hawthorne House Furniture Lighting,interior design,https://www.hawthornehouseinc.com/about/,https://www.instagram.com/hawthornehousefurniture/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Southern Grounds Landscaping,landscaping,https://www.sglathens.com/landscaping/,https://www.instagram.com/southerngroundslandscaping/,Zack,Zack,"Zack, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,ZZ & Simone 's,restaurants,https://www.zzandsimones.com/,https://www.instagram.com/zzandsimones/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Tami Ramsay & Krista Nye Nicholas,interior design,https://www.ramsaynye.com/,https://www.instagram.com/ramsaynye/,Tami,Tami,"Tami, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Five & Ten,restaurants,https://www.fiveandten.com/,https://www.instagram.com/fiveandten/,Peter,Peter,"Peter, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,designPsych Interiors,interior design,https://www.designpsychinteriors.com/,https://www.instagram.com/designpsych_interiors/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Turkey Creek Dental Care,cosmetic dentistry,https://turkeycreekdentalcare.com/,https://www.instagram.com/turkeycreekdentalcare/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 cosmetic dental practice partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,L I S A E L L I S Design,interior design,https://lisaellisdesign.com/,https://www.instagram.com/lisaellisdesign/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 interior design studio partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Austin Debalski,HVAC,https://www.debalski.com/,https://www.instagram.com/debalskiheatingandcooling/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 HVAC company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Oconee Landscape Design,landscaping,https://oconeelandscapedesign.com/hardscaping-athens-ga/,https://www.instagram.com/oconeelandscapedesign/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 landscaping company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Gutter Solutions,roofing,https://www.guttersolutionsforyou.com/service-area/athens-ga/gutter-installation/,https://www.instagram.com/guttersolutions4u/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Waggin Tails,pet care,https://www.waggintailsbogart.com/,https://www.instagram.com/waggintailsbogart/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pet care business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Masters Tax,CPA/accounting,https://www.masterstaxservices.com/,https://www.instagram.com/masterstax/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 accounting firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Mike 's Floor Covering,remodeling,https://mikesfloorcoverings.com/athens/,https://www.instagram.com/mikesfloorcovering/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 remodeling company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Elizabeth,event photography,https://www.portraitsofjoyphotography.com/,https://www.instagram.com/portraitsofjoyphotography/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 event photography business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Humbled Roofing,roofing,https://humbledroofing.com/,https://www.instagram.com/humbledroofing/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 roofing company partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Kaptiv8,marketing agencies,https://kaptiv8marketing.com/,https://www.instagram.com/kaptiv8creative/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 marketing agency partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Athens Atlanta Georgia Wedding Elopement Photographer,event photography,https://brandonphotoandfilm.com/,https://www.instagram.com/brandonphotoandfilm/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 event photography business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Digital Marketing Social Media Management,marketing agencies,https://www.assurecreative.com/,https://www.instagram.com/assurecreative/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 marketing agency partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,1st Rate Book Keeping,CPA/accounting,https://www.1stratebookkeeping.com/,https://www.instagram.com/1stratebookkeeping/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 accounting firm partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Dirty Dawgs,pet care,https://www.dogpoopsmells.com/,https://www.instagram.com/dirtdawgss/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pet care business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Kaitie Bryant Photography,event photography,https://www.kaitiebryantweddings.com/,https://www.instagram.com/kaitiebryant/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 event photography business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Andy Kate Madison GA Senior Wedding Photographer,event photography,https://www.andykatephotography.com/,https://www.instagram.com/andykatephotography/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 event photography business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Front Porch Marketing Marketing for Small Biz in North Georgia,marketing agencies,https://meetmeontheporch.com/,https://www.instagram.com/frontporchmktg/,Katie,Katie,"Katie, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 marketing agency partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Osteria Olio,restaurants,https://www.osteriaolio.com/,https://www.instagram.com/osteriaolioathens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,The Pine Bar,restaurants,https://www.thepineathens.com/,https://www.instagram.com/thepineathens/,Scott,Scott,"Scott, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Four Seasons Pet Resort,pet care,https://www.fourseasonspetresort.com/,https://www.instagram.com/fourseasonspetresortga/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 pet care business partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Black and Tan Collective Full Service Creative Agency,marketing agencies,https://www.blackandtancollective.com/,https://www.instagram.com/blackandtancollective/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 marketing agency partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
2026-09-21,Athens Scoop,Paloma Park,restaurants,https://www.palomapark.com/,https://www.instagram.com/palomapark.athens/,,Hey,"Hey, was looking at your website and profile and feel like I’ve seen y'all around town

We’re looking for 1 restaurant partner for Athens Scoop and you might be a nice fit

Down for me to send you info here?"
